destination,number_of_days,number_of_people,travel_mode,travel_type,destination_count,estimated_food_cost,actual_food_cost,estimated_total_cost,actual_total_cost,source_role,trip_id,created_at_utc
paris,2,6,bus,family,2,10721.43,8715.0,196027.44,191296.29,traveler,49239,2024-08-27T08:26:00+00:00
new york,10,3,train,friends,2,27573.97,33816.1,378581.3,370858.46,traveler,49240,2024-08-27T08:33:00+00:00
new york,5,6,bus,family,1,25505.08,31786.29,341747.75,377204.18,traveler,49241,2024-08-27T08:40:00+00:00
goa,8,4,bus,family,2,21783.59,19243.92,64010.06,59937.79,traveler,49242,2024-08-27T08:47:00+00:00
goa,3,2,flight,couple,1,4420.27,5523.2,21620.84,22138.43,agent,49243,2024-08-27T08:54:00+00:00
singapore,11,1,train,solo,1,10672.58,10748.67,111063.14,110281.6,traveler,49244,2024-08-27T09:01:00+00:00
mumbai,8,3,train,family,4,20407.25,22457.73,46392.3,42524.66,agent,49245,2024-08-27T09:08:00+00:00
bali,3,2,bus,friends,3,4087.03,4794.11,56019.44,51647.8,traveler,49246,2024-08-27T09:15:00+00:00
new york,8,5,bus,family,1,36223.39,29701.88,442641.38,399918.82,agent,49247,2024-08-27T09:22:00+00:00
mumbai,7,3,bus,friends,1,11239.66,12336.08,35170.94,36874.83,traveler,49248,2024-08-27T09:29:00+00:00
bali,9,4,flight,family,2,33911.82,42280.11,471883.64,547700.0,traveler,49249,2024-08-27T09:36:00+00:00
new york,4,1,bus,solo,1,4090.89,4926.98,46878.26,52988.27,traveler,49250,2024-08-27T09:43:00+00:00
singapore,9,5,train,family,1,36159.95,35089.86,463564.75,517924.52,agent,49251,2024-08-27T09:50:00+00:00
new york,2,1,train,solo,1,2234.69,2835.28,32058.79,30985.34,traveler,49252,2024-08-27T09:57:00+00:00
tokyo,5,7,train,family,3,22953.51,25283.12,521630.3,525626.95,traveler,49253,2024-08-27T10:04:00+00:00
dubai,9,4,flight,friends,3,23325.51,25259.9,419439.17,463850.32,traveler,49254,2024-08-27T10:11:00+00:00
paris,10,6,bus,family,5,58708.7,53894.23,797387.48,874034.71,agent,49255,2024-08-27T10:18:00+00:00
new york,11,8,flight,friends,1,64088.94,76833.76,1501149.45,1544923.21,traveler,49256,2024-08-27T10:25:00+00:00
manali,2,6,flight,friends,1,5756.53,6246.36,36101.08,34170.92,traveler,49257,2024-08-27T10:32:00+00:00
goa,3,6,train,friends,2,9671.15,9276.86,48474.33,56141.56,traveler,49258,2024-08-27T10:39:00+00:00
tokyo,7,6,train,friends,1,19146.37,24821.34,602314.33,702105.96,traveler,49259,2024-08-27T10:46:00+00:00
dubai,8,2,flight,friends,1,10647.09,11795.63,187286.31,207100.94,traveler,49260,2024-08-27T10:53:00+00:00
tokyo,6,6,flight,family,1,23073.56,26007.27,710392.95,702025.57,traveler,49261,2024-08-27T11:00:00+00:00
new york,8,7,bus,friends,5,44493.47,52588.04,624612.04,670383.32,traveler,49262,2024-08-27T11:07:00+00:00
tokyo,6,3,train,family,1,11636.34,11918.74,262290.31,276035.55,traveler,49263,2024-08-27T11:14:00+00:00
bali,4,5,flight,family,1,17016.53,17184.74,284845.96,256829.54,traveler,49264,2024-08-27T11:21:00+00:00
dubai,9,5,flight,friends,1,26245.78,26295.42,527588.3,611948.79,traveler,49265,2024-08-27T11:28:00+00:00
dubai,2,1,flight,solo,2,1677.17,1316.23,28481.28,32782.6,traveler,49266,2024-08-27T11:35:00+00:00
singapore,9,5,train,family,1,37071.32,47851.78,457790.51,473945.5,agent,49267,2024-08-27T11:42:00+00:00
singapore,8,1,train,solo,2,8310.4,10091.09,82219.19,93137.69,traveler,49268,2024-08-27T11:49:00+00:00
delhi,8,2,bus,friends,2,9403.42,9422.24,21822.93,22817.36,traveler,49269,2024-08-27T11:56:00+00:00
manali,3,6,bus,family,3,10394.17,12930.84,31269.26,28515.44,traveler,49270,2024-08-27T12:03:00+00:00
bali,11,5,bus,family,2,38313.91,36046.66,443385.18,469991.26,traveler,49271,2024-08-27T12:10:00+00:00
delhi,6,2,flight,couple,3,9804.5,10317.85,27085.53,30208.34,agent,49272,2024-08-27T12:17:00+00:00
mumbai,8,2,bus,couple,1,9745.19,11328.46,26298.15,28271.02,agent,49273,2024-08-27T12:24:00+00:00
mumbai,10,3,train,family,2,22267.92,21092.52,57782.87,63056.62,traveler,49274,2024-08-27T12:31:00+00:00
jaipur,7,8,flight,friends,1,26175.52,23660.99,115313.81,124908.48,traveler,49275,2024-08-27T12:38:00+00:00
new york,5,4,bus,friends,1,15031.26,12698.85,233871.47,275923.73,traveler,49276,2024-08-27T12:45:00+00:00
tokyo,5,3,flight,family,1,12357.19,13818.06,297216.85,279727.19,traveler,49277,2024-08-27T12:52:00+00:00
delhi,3,2,bus,couple,3,4024.64,4251.22,9178.77,10284.89,traveler,49278,2024-08-27T12:59:00+00:00
bali,2,3,flight,friends,1,4318.23,5613.17,95482.01,86746.46,traveler,49279,2024-08-27T13:06:00+00:00
delhi,7,8,bus,family,1,29186.89,31130.82,77403.7,91100.53,traveler,49280,2024-08-27T13:13:00+00:00
delhi,3,8,flight,family,1,14646.07,12009.39,58483.81,55309.65,traveler,49281,2024-08-27T13:20:00+00:00
mumbai,12,8,bus,family,2,57172.7,56786.11,157045.52,165932.91,traveler,49282,2024-08-27T13:27:00+00:00
new york,6,4,train,friends,2,20044.23,16561.86,316659.27,371655.96,agent,49283,2024-08-27T13:34:00+00:00
jaipur,7,5,train,family,2,19005.12,16650.67,53292.8,52880.44,agent,49284,2024-08-27T13:41:00+00:00
delhi,8,8,train,family,1,39279.38,42692.9,104623.35,120491.43,traveler,49285,2024-08-27T13:48:00+00:00
manali,6,5,flight,family,1,19900.25,24397.08,76927.75,87029.07,traveler,49286,2024-08-27T13:55:00+00:00
singapore,11,5,bus,friends,1,36525.56,43155.42,475620.24,514253.79,traveler,49287,2024-08-27T14:02:00+00:00
new york,11,4,bus,family,5,46160.81,46568.42,470197.0,445829.26,traveler,49288,2024-08-27T14:09:00+00:00
new york,5,2,bus,couple,1,9477.46,8149.11,116876.91,120721.42,agent,49289,2024-08-27T14:16:00+00:00
jaipur,9,7,bus,family,4,34030.79,27925.48,79765.44,86547.59,traveler,49290,2024-08-27T14:23:00+00:00
manali,9,4,flight,friends,1,20579.11,16784.14,89557.25,93211.34,agent,49291,2024-08-27T14:30:00+00:00
manali,5,1,train,solo,1,3059.1,3690.24,9649.01,11379.52,traveler,49292,2024-08-27T14:37:00+00:00
tokyo,12,2,flight,couple,1,18045.19,14490.0,446286.23,504373.12,traveler,49293,2024-08-27T14:44:00+00:00
dubai,10,4,train,family,1,28213.17,29606.45,336350.44,360772.81,traveler,49294,2024-08-27T14:51:00+00:00
jaipur,10,8,flight,family,3,45956.39,36257.95,160543.14,163609.07,agent,49295,2024-08-27T14:58:00+00:00
bali,10,6,flight,family,1,50860.08,49280.29,772587.14,756009.99,traveler,49296,2024-08-27T15:05:00+00:00
goa,7,4,flight,friends,2,17537.0,18118.86,91097.28,95759.64,agent,49297,2024-08-27T15:12:00+00:00
paris,3,1,train,solo,1,2921.91,2980.66,52186.84,51677.01,agent,49298,2024-08-27T15:19:00+00:00
singapore,7,1,train,solo,1,6293.45,5655.08,72812.41,65626.85,traveler,49299,2024-08-27T15:26:00+00:00
new york,11,2,bus,friends,1,17228.23,14759.93,238557.55,241807.83,traveler,49300,2024-08-27T15:33:00+00:00
dubai,11,4,flight,family,3,36688.45,34355.87,503651.57,586023.34,traveler,49301,2024-08-27T15:40:00+00:00
new york,8,3,bus,family,1,24211.1,22700.47,267713.03,309001.32,traveler,49302,2024-08-27T15:47:00+00:00
bali,6,4,flight,family,2,20857.2,20594.34,322031.55,346895.2,traveler,49303,2024-08-27T15:54:00+00:00
manali,7,3,train,family,2,14567.38,18029.93,38757.89,35612.17,traveler,49304,2024-08-27T16:01:00+00:00
tokyo,12,4,train,friends,1,24685.01,25524.38,652153.76,742726.92,traveler,49305,2024-08-27T16:08:00+00:00
delhi,7,1,train,solo,2,5070.86,4182.45,11627.38,11703.66,traveler,49306,2024-08-27T16:15:00+00:00
tokyo,6,4,train,friends,1,12748.01,12584.64,346402.11,339217.78,traveler,49307,2024-08-27T16:22:00+00:00
bali,11,8,train,friends,1,42125.83,42386.47,827336.36,833308.78,traveler,49308,2024-08-27T16:29:00+00:00
jaipur,2,8,bus,family,2,8124.33,6787.85,25448.13,24503.17,agent,49309,2024-08-27T16:36:00+00:00
bali,5,3,train,friends,1,8631.68,7595.89,150500.86,169160.18,traveler,49310,2024-08-27T16:43:00+00:00
delhi,8,1,train,solo,1,5957.46,5716.59,13138.03,14126.24,traveler,49311,2024-08-27T16:50:00+00:00
bali,6,6,bus,friends,2,19978.08,16339.5,307475.54,344345.13,traveler,49312,2024-08-27T16:57:00+00:00
manali,8,2,train,couple,3,9892.21,8038.52,29192.78,33638.59,agent,49313,2024-08-27T17:04:00+00:00
singapore,12,2,bus,couple,2,20830.51,19193.52,206563.82,228085.06,traveler,49314,2024-08-27T17:11:00+00:00
delhi,11,7,bus,friends,1,32348.98,39368.7,102784.42,111116.18,traveler,49315,2024-08-27T17:18:00+00:00
tokyo,9,6,bus,family,3,33891.64,36342.95,635961.3,689526.79,traveler,49316,2024-08-27T17:25:00+00:00
new york,2,7,bus,family,2,11417.68,9391.57,187198.07,201394.63,traveler,49317,2024-08-27T17:32:00+00:00
singapore,7,3,flight,friends,1,18096.72,15163.98,297422.39,291435.37,traveler,49318,2024-08-27T17:39:00+00:00
jaipur,7,1,train,solo,2,4398.39,4517.71,10730.32,10102.04,traveler,49319,2024-08-27T17:46:00+00:00
paris,6,3,flight,friends,1,15000.15,17605.59,394386.99,430993.63,traveler,49320,2024-08-27T17:53:00+00:00
tokyo,9,5,flight,friends,2,25859.95,20298.6,844271.17,984515.41,traveler,49321,2024-08-27T18:00:00+00:00
paris,11,2,flight,friends,2,19603.91,24699.2,451946.92,434722.04,traveler,49322,2024-08-27T18:07:00+00:00
jaipur,4,2,bus,couple,1,3858.82,4229.34,11139.94,12772.18,traveler,49323,2024-08-27T18:14:00+00:00
new york,2,3,bus,friends,1,4649.92,3736.08,81504.14,91811.46,traveler,49324,2024-08-27T18:21:00+00:00
tokyo,9,1,train,solo,1,5942.79,6953.8,126696.41,141156.36,traveler,49325,2024-08-27T18:28:00+00:00
new york,6,5,flight,family,1,33195.19,37652.1,546648.65,588804.41,agent,49326,2024-08-27T18:35:00+00:00
paris,2,5,bus,family,2,8024.21,8742.64,161927.52,175308.78,traveler,49327,2024-08-27T18:42:00+00:00
paris,10,6,flight,family,1,60040.95,49436.2,1249920.34,1271971.0,traveler,49328,2024-08-27T18:49:00+00:00
dubai,4,5,flight,family,1,14876.5,15762.45,253340.36,262349.64,traveler,49329,2024-08-27T18:56:00+00:00
paris,3,3,bus,friends,1,5832.7,7231.6,136388.29,139415.61,traveler,49330,2024-08-27T19:03:00+00:00
bali,4,2,bus,couple,2,5792.09,7356.15,71813.16,74944.59,agent,49331,2024-08-27T19:10:00+00:00
dubai,8,3,flight,family,2,20105.92,20182.09,277598.79,305370.8,traveler,49332,2024-08-27T19:17:00+00:00
new york,8,8,bus,family,1,49400.4,45882.82,698108.03,804800.28,agent,49333,2024-08-27T19:24:00+00:00
dubai,3,7,bus,family,1,11199.69,10687.61,171380.75,179054.23,traveler,49334,2024-08-27T19:31:00+00:00
manali,5,5,flight,family,1,16524.57,19054.04,64843.74,68130.75,agent,49335,2024-08-27T19:38:00+00:00
tokyo,2,3,flight,family,1,4318.7,3919.3,138185.07,125638.53,agent,49336,2024-08-27T19:45:00+00:00
singapore,8,3,train,family,4,24439.83,22323.31,245197.39,247444.36,traveler,49337,2024-08-27T19:52:00+00:00
manali,10,3,train,friends,2,15169.56,17304.97,53704.81,53039.61,traveler,49338,2024-08-27T19:59:00+00:00
mumbai,8,5,flight,friends,2,27340.56,26112.52,105039.83,104718.8,traveler,49339,2024-08-27T20:06:00+00:00
delhi,4,3,bus,family,2,8337.32,6879.58,17993.03,19668.14,traveler,49340,2024-08-27T20:13:00+00:00
paris,10,5,train,family,1,48160.79,40530.66,764187.32,702514.61,traveler,49341,2024-08-27T20:20:00+00:00
dubai,7,6,bus,family,3,27433.48,26036.49,312108.07,306474.39,agent,49342,2024-08-27T20:27:00+00:00
mumbai,11,4,train,friends,1,26310.15,22139.61,84615.31,77107.69,traveler,49343,2024-08-27T20:34:00+00:00
manali,5,8,train,family,1,21063.19,24396.84,76393.54,81191.2,traveler,49344,2024-08-27T20:41:00+00:00
goa,8,2,train,couple,1,11176.62,12576.37,37916.11,40120.59,traveler,49345,2024-08-27T20:48:00+00:00
delhi,8,4,bus,friends,4,17032.15,15554.62,43612.3,42990.77,traveler,49346,2024-08-27T20:55:00+00:00
goa,9,4,train,family,2,28211.44,28736.97,85584.96,80273.44,traveler,49347,2024-08-27T21:02:00+00:00
new york,3,6,train,friends,1,12366.4,10029.53,259308.74,285707.83,traveler,49348,2024-08-27T21:09:00+00:00
tokyo,12,2,train,couple,1,14707.69,13822.57,332498.01,366106.06,traveler,49349,2024-08-27T21:16:00+00:00
delhi,2,1,bus,solo,1,1427.48,1523.84,5000.0,5817.5,traveler,49350,2024-08-27T21:23:00+00:00
jaipur,12,5,train,family,1,30672.76,30549.92,87516.35,101533.38,traveler,49351,2024-08-27T21:30:00+00:00
jaipur,3,1,train,solo,3,2003.32,1877.77,5047.47,5528.49,traveler,49352,2024-08-27T21:37:00+00:00
dubai,10,3,bus,friends,3,16893.98,20592.4,214547.22,198841.62,agent,49353,2024-08-27T21:44:00+00:00
dubai,12,3,train,friends,1,18770.44,18909.25,299173.75,289466.7,agent,49354,2024-08-27T21:51:00+00:00
singapore,6,8,bus,friends,1,27880.46,25386.36,434204.38,502462.78,traveler,49355,2024-08-27T21:58:00+00:00
goa,2,3,bus,friends,1,3085.87,3710.99,14838.68,16943.77,traveler,49356,2024-08-27T22:05:00+00:00
goa,8,6,train,family,1,32271.3,35079.39,114995.73,113783.85,traveler,49357,2024-08-27T22:12:00+00:00
delhi,7,7,bus,family,1,29239.86,28966.89,68319.57,73276.91,traveler,49358,2024-08-27T22:19:00+00:00
mumbai,12,1,bus,solo,1,8140.82,9235.86,19615.9,18477.17,agent,49359,2024-08-27T22:26:00+00:00
singapore,4,7,train,family,2,22781.94,22377.25,312708.46,304074.42,traveler,49360,2024-08-27T22:33:00+00:00
new york,8,2,train,couple,4,16483.08,15045.03,205756.98,209434.75,traveler,49361,2024-08-27T22:40:00+00:00
tokyo,4,6,flight,family,2,16788.99,20293.44,487233.23,476609.4,agent,49362,2024-08-27T22:47:00+00:00
delhi,9,7,train,family,1,39047.46,49767.3,100507.29,111955.59,traveler,49363,2024-08-27T22:54:00+00:00
tokyo,4,4,bus,friends,4,8675.92,8372.71,206392.15,202929.91,traveler,49364,2024-08-27T23:01:00+00:00
new york,2,2,bus,friends,1,2913.1,2393.95,54070.6,51747.95,agent,49365,2024-08-27T23:08:00+00:00
goa,11,2,bus,friends,2,12250.17,10276.84,43454.55,50987.59,traveler,49366,2024-08-27T23:15:00+00:00
bali,9,1,bus,solo,1,6727.64,6889.21,73303.04,67385.43,traveler,49367,2024-08-27T23:22:00+00:00
bali,10,4,bus,friends,5,26587.15,28244.14,325269.61,339222.59,traveler,49368,2024-08-27T23:29:00+00:00
mumbai,6,3,flight,friends,1,11782.01,14804.36,48536.79,47774.5,agent,49369,2024-08-27T23:36:00+00:00
paris,2,1,train,solo,1,2077.17,2639.81,38763.31,44824.7,traveler,49370,2024-08-27T23:43:00+00:00
goa,6,7,flight,family,1,31913.42,29354.39,137225.45,126447.44,traveler,49371,2024-08-27T23:50:00+00:00
paris,10,5,bus,friends,1,33542.03,26719.2,654556.28,650388.11,agent,49372,2024-08-27T23:57:00+00:00
dubai,3,6,bus,family,1,10379.62,10595.13,150146.04,141733.49,traveler,49373,2024-08-28T00:04:00+00:00
tokyo,6,3,bus,friends,2,9056.22,10197.91,219007.06,239200.63,traveler,49374,2024-08-28T00:11:00+00:00
delhi,8,8,flight,family,2,46955.13,55265.73,141915.99,128544.83,traveler,49375,2024-08-28T00:18:00+00:00
dubai,9,1,bus,solo,1,6191.38,5381.21,64811.82,68605.69,traveler,49376,2024-08-28T00:25:00+00:00
paris,5,8,bus,family,1,28301.61,27082.31,552539.76,529131.02,agent,49377,2024-08-28T00:32:00+00:00
new york,4,7,train,friends,1,19514.7,20683.81,387088.92,364084.18,agent,49378,2024-08-28T00:39:00+00:00
paris,4,1,flight,solo,1,4807.29,5295.05,91439.23,82754.37,agent,49379,2024-08-28T00:46:00+00:00
dubai,6,7,flight,friends,1,21292.6,19461.59,506923.9,513202.43,traveler,49380,2024-08-28T00:53:00+00:00
manali,4,6,train,friends,4,12907.22,12193.47,46972.49,49983.92,traveler,49381,2024-08-28T01:00:00+00:00
jaipur,6,4,bus,family,1,13611.15,13974.85,31471.85,29137.63,traveler,49382,2024-08-28T01:07:00+00:00
tokyo,10,6,bus,friends,1,28525.94,30573.18,696338.44,757416.64,traveler,49383,2024-08-28T01:14:00+00:00
new york,5,7,flight,family,4,42346.32,37789.74,632153.7,675519.61,traveler,49384,2024-08-28T01:21:00+00:00
bali,5,8,train,family,3,30728.6,29334.24,405047.24,467862.69,agent,49385,2024-08-28T01:28:00+00:00
goa,2,4,flight,family,1,6788.76,7168.36,31951.05,37675.52,agent,49386,2024-08-28T01:35:00+00:00
dubai,8,6,bus,family,3,31111.67,33523.81,352747.76,405079.95,traveler,49387,2024-08-28T01:42:00+00:00
tokyo,3,6,train,family,1,10696.27,11927.55,283553.92,296723.55,agent,49388,2024-08-28T01:49:00+00:00
dubai,7,8,flight,friends,2,27649.99,26743.29,662398.67,633120.71,traveler,49389,2024-08-28T01:56:00+00:00
goa,6,6,train,family,1,23393.38,18344.65,88496.31,102863.12,agent,49390,2024-08-28T02:03:00+00:00
tokyo,7,3,flight,friends,1,13465.29,14995.22,397323.15,407875.6,traveler,49391,2024-08-28T02:10:00+00:00
manali,12,4,train,friends,1,23076.04,18751.58,85443.78,82424.42,traveler,49392,2024-08-28T02:17:00+00:00
delhi,5,6,bus,family,2,19360.67,21932.66,43487.71,42507.85,agent,49393,2024-08-28T02:24:00+00:00
dubai,12,3,bus,friends,1,17795.22,20924.21,257586.56,276749.94,agent,49394,2024-08-28T02:31:00+00:00
singapore,6,2,flight,couple,3,13533.15,15198.04,170391.34,169232.21,traveler,49395,2024-08-28T02:38:00+00:00
tokyo,9,3,train,family,1,19061.57,19392.88,373699.67,357941.39,traveler,49396,2024-08-28T02:45:00+00:00
mumbai,9,2,bus,friends,2,10073.81,11676.96,29454.27,30810.02,agent,49397,2024-08-28T02:52:00+00:00
tokyo,5,3,bus,friends,2,7271.45,7325.11,188832.25,171659.58,agent,49398,2024-08-28T02:59:00+00:00
singapore,3,6,train,family,2,16666.38,13850.09,206742.77,190637.77,traveler,49399,2024-08-28T03:06:00+00:00
mumbai,11,3,flight,friends,1,22569.47,26354.95,84631.89,91107.88,agent,49400,2024-08-28T03:13:00+00:00
dubai,9,6,bus,family,1,31127.3,29390.27,388415.19,443845.87,traveler,49401,2024-08-28T03:20:00+00:00
delhi,2,1,flight,solo,1,1745.6,2192.53,5352.14,6009.14,traveler,49402,2024-08-28T03:27:00+00:00
goa,6,4,flight,family,3,20908.56,16960.41,80164.92,84225.45,traveler,49403,2024-08-28T03:34:00+00:00
manali,10,2,train,couple,2,12702.54,15033.76,36548.06,36738.88,agent,49404,2024-08-28T03:41:00+00:00
dubai,3,2,bus,couple,1,3538.59,3285.91,49670.7,54170.85,traveler,49405,2024-08-28T03:48:00+00:00
paris,9,2,flight,friends,1,17173.37,13430.62,374726.91,424369.1,traveler,49406,2024-08-28T03:55:00+00:00
bali,3,6,flight,friends,1,10897.62,10053.86,269445.17,273270.41,agent,49407,2024-08-28T04:02:00+00:00
mumbai,4,3,flight,friends,1,8428.49,8952.45,34118.59,38803.54,traveler,49408,2024-08-28T04:09:00+00:00
manali,2,5,bus,family,1,5399.78,4557.4,19023.44,21078.53,traveler,49409,2024-08-28T04:16:00+00:00
goa,9,8,bus,family,3,43663.17,46212.24,145896.02,167435.81,traveler,49410,2024-08-28T04:23:00+00:00
singapore,9,1,bus,solo,1,7314.49,9087.05,77062.24,75086.6,agent,49411,2024-08-28T04:30:00+00:00
new york,6,8,bus,family,2,42293.79,43953.31,542092.53,530802.71,traveler,49412,2024-08-28T04:37:00+00:00
manali,9,5,bus,family,2,24403.31,29666.6,70218.67,79752.07,traveler,49413,2024-08-28T04:44:00+00:00
tokyo,3,1,bus,solo,2,2141.43,2246.22,40582.79,47819.3,traveler,49414,2024-08-28T04:51:00+00:00
bali,7,1,bus,solo,2,5153.42,4587.87,58286.07,68076.09,traveler,49415,2024-08-28T04:58:00+00:00
bali,8,4,bus,family,4,24695.99,19880.93,268520.01,295135.26,traveler,49416,2024-08-28T05:05:00+00:00
delhi,11,6,flight,family,3,53467.68,64724.54,143485.56,136560.56,traveler,49417,2024-08-28T05:12:00+00:00
delhi,9,7,bus,family,1,35534.5,35963.12,84890.04,88243.32,traveler,49418,2024-08-28T05:19:00+00:00
delhi,10,7,flight,family,4,51780.38,42468.77,152371.48,145214.99,traveler,49419,2024-08-28T05:26:00+00:00
new york,8,4,bus,family,1,28707.42,34417.26,354692.44,328415.59,traveler,49420,2024-08-28T05:33:00+00:00
manali,7,8,flight,family,2,36730.39,35962.88,138426.07,150719.66,agent,49421,2024-08-28T05:40:00+00:00
paris,10,3,flight,family,4,34825.37,30167.57,616088.02,556326.5,agent,49422,2024-08-28T05:47:00+00:00
dubai,5,4,train,family,4,14510.63,14805.03,182120.65,184528.51,traveler,49423,2024-08-28T05:54:00+00:00
goa,11,7,train,family,1,48139.52,38960.27,176895.45,205185.82,agent,49424,2024-08-28T06:01:00+00:00
singapore,3,2,flight,couple,1,5374.7,5594.83,94797.05,94633.56,traveler,49425,2024-08-28T06:08:00+00:00
paris,9,7,train,family,2,50699.24,51240.44,984238.84,1066822.13,traveler,49426,2024-08-28T06:15:00+00:00
goa,7,6,train,friends,1,22882.37,28887.84,99897.15,105302.03,agent,49427,2024-08-28T06:22:00+00:00
mumbai,7,3,bus,family,1,14459.9,13004.19,35339.77,32084.82,traveler,49428,2024-08-28T06:29:00+00:00
bali,6,5,bus,family,2,21136.14,20377.35,258142.28,243615.1,traveler,49429,2024-08-28T06:36:00+00:00
tokyo,8,7,train,family,1,34130.2,34892.39,796185.65,829154.32,agent,49430,2024-08-28T06:43:00+00:00
singapore,4,5,flight,friends,2,17292.67,21123.65,299640.07,296708.96,traveler,49431,2024-08-28T06:50:00+00:00
dubai,6,5,bus,family,3,18246.36,19888.97,224294.05,254177.83,traveler,49432,2024-08-28T06:57:00+00:00
singapore,9,7,bus,friends,1,38988.29,30421.48,545387.36,514653.89,traveler,49433,2024-08-28T07:04:00+00:00
paris,10,6,train,friends,1,39673.8,43595.64,925326.29,892909.77,agent,49434,2024-08-28T07:11:00+00:00
jaipur,4,4,train,friends,2,7733.41,6793.93,25669.93,29709.14,traveler,49435,2024-08-28T07:18:00+00:00
bali,12,6,bus,family,2,46725.7,58736.5,581575.25,572668.72,agent,49436,2024-08-28T07:25:00+00:00
dubai,9,2,train,friends,3,11483.92,13841.72,156675.19,152891.8,traveler,49437,2024-08-28T07:32:00+00:00
dubai,11,2,train,friends,1,12717.45,13660.49,188475.72,174453.45,agent,49438,2024-08-28T07:39:00+00:00
goa,3,5,train,friends,2,7828.72,9484.85,39769.31,40650.27,traveler,49439,2024-08-28T07:46:00+00:00
mumbai,9,2,train,friends,2,11822.26,11887.89,34636.25,35478.08,traveler,49440,2024-08-28T07:53:00+00:00
paris,2,1,flight,solo,1,2134.99,1867.17,51810.62,59750.16,traveler,49441,2024-08-28T08:00:00+00:00
goa,12,4,train,family,1,35057.29,35505.7,110192.39,104624.73,agent,49442,2024-08-28T08:07:00+00:00
mumbai,10,5,bus,friends,1,24774.57,27620.72,80765.32,86356.3,traveler,49443,2024-08-28T08:14:00+00:00
singapore,3,3,bus,friends,2,6549.25,7186.87,87304.95,92609.01,traveler,49444,2024-08-28T08:21:00+00:00
singapore,5,4,train,family,2,19533.23,20055.68,211780.19,237524.4,agent,49445,2024-08-28T08:28:00+00:00
mumbai,10,6,flight,family,1,46470.9,47863.15,153972.99,149416.4,traveler,49446,2024-08-28T08:35:00+00:00
bali,2,5,flight,family,1,8955.5,8237.54,161014.82,164620.0,agent,49447,2024-08-28T08:42:00+00:00
dubai,10,8,train,friends,5,43660.14,55438.54,677931.02,771088.57,traveler,49448,2024-08-28T08:49:00+00:00
singapore,12,3,bus,friends,1,24634.89,22605.19,303991.81,283135.75,traveler,49449,2024-08-28T08:56:00+00:00
paris,7,1,bus,solo,1,6261.32,6599.16,94459.52,110739.55,traveler,49450,2024-08-28T09:03:00+00:00
delhi,6,2,train,couple,3,9050.84,10900.66,19847.32,20748.84,traveler,49451,2024-08-28T09:10:00+00:00
singapore,6,1,flight,solo,3,6929.99,5971.44,86239.66,83971.58,traveler,49452,2024-08-28T09:17:00+00:00
delhi,3,5,bus,family,1,8397.74,7482.21,23296.13,24695.57,traveler,49453,2024-08-28T09:24:00+00:00
singapore,12,3,bus,family,5,35073.2,38794.2,303913.74,327644.12,traveler,49454,2024-08-28T09:31:00+00:00
delhi,2,4,flight,friends,1,4852.2,4515.65,21710.11,19929.21,agent,49455,2024-08-28T09:38:00+00:00
paris,3,4,train,friends,1,8310.96,7103.19,209946.94,212912.47,traveler,49456,2024-08-28T09:45:00+00:00
new york,7,5,train,family,1,32090.27,34354.25,460178.93,517950.49,traveler,49457,2024-08-28T09:52:00+00:00
new york,10,1,train,solo,2,11298.49,10537.27,127515.91,141633.94,agent,49458,2024-08-28T09:59:00+00:00
mumbai,5,4,train,friends,2,12331.86,10983.87,40098.34,45022.17,agent,49459,2024-08-28T10:06:00+00:00
goa,10,2,bus,friends,1,11352.81,13235.23,40275.29,37558.49,traveler,49460,2024-08-28T10:13:00+00:00
goa,12,2,flight,friends,2,18107.17,15562.97,75517.74,74349.85,traveler,49461,2024-08-28T10:20:00+00:00
singapore,3,1,flight,solo,1,3076.21,2711.58,47047.27,50899.0,traveler,49462,2024-08-28T10:27:00+00:00
new york,10,8,bus,family,3,67273.16,75243.82,873013.11,1028343.22,agent,49463,2024-08-28T10:34:00+00:00
delhi,8,4,bus,friends,2,15850.84,17869.83,44478.97,49187.84,traveler,49464,2024-08-28T10:41:00+00:00
new york,7,3,flight,friends,1,20355.82,19861.46,372400.35,355106.93,traveler,49465,2024-08-28T10:48:00+00:00
goa,7,3,flight,friends,1,14534.02,18013.04,68623.79,63180.62,traveler,49466,2024-08-28T10:55:00+00:00
bali,3,6,flight,friends,1,11316.24,11751.11,268917.65,296304.65,traveler,49467,2024-08-28T11:02:00+00:00
singapore,9,5,flight,family,1,45153.1,43837.56,619261.27,699506.82,traveler,49468,2024-08-28T11:09:00+00:00
jaipur,8,6,flight,family,3,33613.27,30180.81,97236.48,95428.35,agent,49469,2024-08-28T11:16:00+00:00
paris,10,7,train,friends,3,47782.85,42279.05,1072693.35,1142225.05,traveler,49470,2024-08-28T11:23:00+00:00
jaipur,10,1,train,solo,4,7380.53,6945.57,14698.3,14893.43,traveler,49471,2024-08-28T11:30:00+00:00
dubai,5,7,bus,friends,1,14075.64,16536.61,269315.1,276466.9,traveler,49472,2024-08-28T11:37:00+00:00
singapore,10,4,bus,friends,1,27416.91,31845.88,340031.12,371002.35,traveler,49473,2024-08-28T11:44:00+00:00
mumbai,5,7,bus,family,5,23957.57,29051.63,60036.72,68774.73,agent,49474,2024-08-28T11:51:00+00:00
