destination,number_of_days,number_of_people,travel_mode,estimated_cost
Tokyo,10,4,train,553562.26
Goa,12,8,flight,302834.08
Jaipur,8,2,train,24073.6
Delhi,10,3,flight,65646.91
Manali,4,7,bus,46589.06
Manali,10,8,bus,124712.43
Jaipur,4,1,train,6514.07
Mumbai,10,4,bus,64885.13
Mumbai,7,3,flight,55527.26
Tokyo,7,2,flight,269759.42
Bali,6,8,bus,411142.4
Goa,8,2,flight,51933.44
Manali,7,8,flight,141985.83
Mumbai,3,2,bus,11108.38
New York,9,4,flight,631104.69
Delhi,5,1,train,8470.12
Manali,2,6,train,27049.07
New York,12,1,train,151501.81
Jaipur,3,7,flight,48091.85
Tokyo,12,5,bus,700918.91
Paris,9,4,bus,468968.78
Goa,6,4,bus,49987.35
Paris,3,2,bus,89542.22
Paris,8,2,train,250711.34
Goa,2,1,train,5855.71
Bali,4,6,train,253097.79
Mumbai,6,5,train,58976.11
Singapore,12,5,bus,503873.59
Paris,11,8,flight,1821674.13
Manali,3,2,flight,16623.73
Manali,9,7,train,116305.68
New York,5,2,train,134018.21
Paris,5,4,bus,276693.3
Jaipur,7,8,bus,73232.24
Dubai,7,3,train,181218.07
Manali,9,5,bus,69218.11
Goa,4,3,bus,26103.53
Tokyo,7,7,train,700031.2
Tokyo,7,3,train,298661.23
Tokyo,6,8,train,684968.05
Tokyo,5,4,train,293425.28
Delhi,11,6,flight,140560.97
New York,11,6,bus,712280.42
Jaipur,5,6,train,46945.36
Tokyo,12,7,flight,1536584.17
Manali,12,2,flight,58269.78
New York,5,8,flight,727887.73
Tokyo,12,5,flight,1101727.1
Delhi,10,8,train,126715.4
Delhi,12,7,bus,111300.92
Singapore,12,2,flight,328563.44
New York,3,7,train,308757.35
New York,12,2,train,299229.17
Jaipur,11,2,train,32782.74
Paris,9,6,train,839050.53
Jaipur,4,7,bus,38175.44
Bali,2,2,bus,40553.82
Bali,6,6,flight,477809.68
Bali,8,1,flight,104495.53
Jaipur,2,5,bus,15813.72
Mumbai,4,2,bus,14386.93
Jaipur,11,8,bus,109353.52
Delhi,6,2,flight,26975.05
Bali,3,7,train,227657.33
Jaipur,4,4,train,26250.7
Delhi,6,5,flight,67172.11
Jaipur,11,1,train,16454.16
Paris,10,5,flight,1044574.8
Bali,10,5,bus,401833.88
Tokyo,9,3,flight,501636.01
Tokyo,8,7,flight,1056618.08
Paris,2,2,train,77919.82
New York,2,7,flight,302445.57
Dubai,2,5,bus,89860.49
Manali,3,5,flight,41895.72
Tokyo,12,1,flight,219059.46
Manali,3,7,flight,58536.91
Dubai,7,2,bus,103151.21
Tokyo,4,2,bus,102024.39
Paris,3,3,flight,214646.35
Jaipur,8,1,train,12153.17
Bali,10,5,train,478215.77
Dubai,9,3,flight,308263.95
Paris,8,7,flight,1174244.52
Goa,5,1,bus,10655.83
Tokyo,9,6,bus,639806.85
Manali,9,6,bus,84002.64
Singapore,11,7,bus,664871.0
Paris,5,6,bus,418409.31
Jaipur,4,7,bus,38563.3
Manali,8,7,flight,139910.94
Goa,3,1,train,7913.17
Manali,4,7,bus,46350.01
Dubai,2,3,train,62962.14
Jaipur,11,4,train,65050.69
New York,5,4,train,275240.78
Delhi,4,8,bus,46759.56
Manali,4,6,bus,39796.83
Paris,12,1,bus,157494.08
Mumbai,10,1,flight,25627.75
Dubai,8,7,bus,408002.53
New York,4,7,bus,331909.68
Jaipur,8,8,bus,82880.22
Goa,5,2,train,24796.21
Manali,5,6,flight,78245.66
Goa,12,3,flight,111248.19
Delhi,3,2,train,10979.85
Dubai,10,3,flight,340674.86
Dubai,7,3,bus,155723.0
Dubai,8,8,train,556182.93
New York,8,1,train,103146.07
Goa,11,7,train,176895.45
Paris,2,2,bus,65341.41
Bali,7,6,flight,553480.03
Goa,2,6,train,34857.31
Bali,4,3,bus,106452.86
Goa,5,8,train,98753.57
Paris,7,5,flight,755665.18
Singapore,4,2,train,87357.0
Tokyo,6,8,flight,919943.45
Singapore,12,6,flight,977777.27
Delhi,7,2,train,22950.37
Paris,10,1,bus,130034.29
Tokyo,3,6,train,282543.98
Paris,12,2,bus,307193.83
Mumbai,9,1,bus,14900.08
New York,11,4,train,552450.71
Bali,7,7,train,481453.1
Dubai,10,4,bus,285578.34
Jaipur,10,3,train,44949.57
Paris,2,5,flight,257700.13
Goa,4,3,bus,25768.25
Mumbai,2,6,train,28193.21
Mumbai,12,8,flight,243717.28
Singapore,5,5,flight,366131.02
Jaipur,11,6,flight,133552.26
Paris,5,4,flight,445974.15
Dubai,11,1,train,92623.49
Dubai,10,8,bus,576226.79
Paris,4,6,flight,540361.15
Dubai,9,7,flight,740053.72
Paris,7,5,bus,465138.9
Manali,4,4,bus,27225.27
Delhi,5,3,bus,21736.99
Dubai,10,1,flight,115520.91
Bali,7,1,flight,92707.26
Jaipur,7,6,bus,54965.69
Bali,7,6,flight,565526.71
Tokyo,6,3,train,256280.34
Jaipur,10,5,flight,99315.6
Manali,5,3,flight,38599.64
Singapore,6,3,flight,256566.89
Tokyo,9,1,bus,106690.19
Bali,8,1,train,78412.77
Paris,2,3,bus,98239.39
Delhi,6,5,flight,66548.4
Tokyo,4,3,train,179590.65
Delhi,12,6,flight,152036.01
New York,2,1,train,32010.36
Mumbai,10,8,train,153494.02
Jaipur,7,7,bus,63904.26
Jaipur,12,7,bus,105399.56
Jaipur,3,6,flight,40889.38
Tokyo,10,1,bus,118319.73
New York,12,7,bus,890018.73
Dubai,2,8,flight,226787.32
Delhi,3,5,train,27106.04
Singapore,6,4,train,251763.26
Manali,2,8,bus,30866.64
Paris,5,3,train,249013.06
Mumbai,8,3,flight,62785.15
Paris,5,7,train,576697.16
Bali,9,3,bus,219609.88
Dubai,6,6,bus,269939.72
Delhi,4,4,train,28222.42
Bali,5,5,flight,347422.02
Mumbai,2,6,bus,24049.04
Mumbai,12,8,bus,153833.69
Manali,11,2,flight,53617.76
Jaipur,6,1,flight,12428.79
Delhi,2,1,bus,5000
Mumbai,11,8,bus,144587.95
Paris,7,4,bus,378560.62
Tokyo,8,1,bus,94314.74
Delhi,10,6,train,97271.98
Delhi,11,7,train,123505.3
Manali,4,1,bus,6815.42
Jaipur,12,5,flight,120812.8
Bali,10,3,train,288933.38
Paris,8,4,bus,432324.73
Bali,6,8,flight,641682.74
Paris,4,1,train,67495.32
Paris,8,1,bus,105058.57
Goa,4,8,train,81647.55
Singapore,2,6,train,150110.6
Bali,3,2,flight,89128.1
Tokyo,8,8,flight,1228468.87
Jaipur,10,1,train,14984.63
Paris,6,2,flight,262316.55
Delhi,2,6,flight,32305.8
Singapore,5,3,bus,137678.11
Goa,2,1,bus,5000
New York,11,4,train,558511.69
Singapore,3,8,bus,235396.95
Jaipur,7,6,train,65059.62
Jaipur,12,8,train,141487.21
Dubai,11,1,flight,127243.59
Jaipur,6,7,train,64447.28
Tokyo,7,6,bus,503787.23
Bali,7,1,bus,58904.07
Tokyo,2,1,bus,29327.61
Goa,12,6,train,168106.66
Manali,5,7,bus,57695.79
Tokyo,4,8,train,487159.08
Tokyo,2,1,train,34484.59
Goa,11,2,train,51913.56
Tokyo,3,7,flight,447854.91
Goa,2,2,flight,15906.87
Manali,6,2,bus,19280.11
Mumbai,6,6,flight,95919.61
Mumbai,5,1,flight,13582.72
Jaipur,6,3,train,27962.9
Mumbai,11,2,train,42555.32
Bali,7,4,flight,366845.71
Tokyo,7,7,bus,589246.36
Delhi,10,6,flight,127547.41
Manali,2,1,train,5000
Mumbai,6,4,flight,64138.39
Jaipur,4,8,train,51759.67
Jaipur,8,3,train,36786.04
Delhi,10,2,train,32357.37
New York,3,2,bus,73667.17
Mumbai,5,4,bus,34455.55
Paris,12,8,bus,1256472.86
Jaipur,9,3,train,40449.32
Mumbai,2,6,train,28502.12
Goa,5,7,flight,118779.63
Manali,4,5,flight,53978.15
New York,2,4,train,127108.78
Goa,11,3,bus,64632.69
Mumbai,7,8,bus,94426.65
Bali,3,5,bus,141473.2
Delhi,12,1,train,18813.85
Paris,8,6,flight,1013745.48
Delhi,4,6,flight,56416.4
Delhi,4,5,bus,29738.81
Singapore,5,2,flight,145967.95
Mumbai,2,8,train,38193.02
New York,8,1,train,103715.66
Mumbai,7,3,train,41198.32
Bali,8,7,train,545223.71
Delhi,12,6,bus,96483.03
Goa,9,3,bus,53474.85
Bali,4,5,train,206609.51
Tokyo,10,1,flight,188929.16
Mumbai,10,7,bus,112814.48
Dubai,5,6,train,273781.05
Delhi,3,5,train,27042.71
Dubai,10,7,bus,513148.14
Delhi,2,7,flight,37695.97
Dubai,12,3,train,306103.03
Bali,9,2,train,172988.13
Dubai,8,3,bus,178365.12
Manali,4,4,bus,27127.29
Bali,4,7,train,289466.98
Delhi,8,1,bus,11056.23
Paris,7,7,bus,655548.19
Singapore,9,5,train,456783.56
Goa,10,4,train,93489.75
Goa,7,5,train,84592.71
Paris,8,3,flight,512920.58
Singapore,2,8,train,199428.41
New York,6,4,train,319690.78
Delhi,5,4,flight,45628.08
New York,4,6,flight,455319.28
New York,3,5,bus,187426.79
Mumbai,12,6,bus,117293.85
Tokyo,8,5,train,567348.13
Jaipur,3,4,train,20547.43
Singapore,11,6,bus,569628.08
Manali,6,6,train,67000.43
Singapore,10,7,train,701335.91
Delhi,11,2,flight,47513.3
New York,6,8,train,639640.14
Singapore,9,6,flight,741154.9
Goa,11,6,bus,132105.72
Dubai,9,4,train,311343.56
Mumbai,11,8,flight,229441.23
Delhi,8,1,bus,10931.19
Dubai,7,3,train,183897.46
Dubai,6,7,flight,508856.72
Manali,3,8,train,49877.41
Dubai,9,3,train,231074.49
Mumbai,9,5,bus,73304.16
New York,2,8,bus,213144.53
Goa,12,6,train,164506.66
Paris,8,4,flight,670329.23
Paris,2,8,train,308277.96
Paris,12,7,flight,1709995.44
Goa,3,3,flight,32858.63
Mumbai,12,3,flight,93113.49
Tokyo,12,8,train,1329319.95
New York,12,1,flight,204971.93
Paris,7,6,bus,564303.22
Dubai,6,3,train,158584.07
Delhi,6,4,train,39939.76
Mumbai,9,5,flight,116426.71
Singapore,2,4,train,100843.04
Goa,3,1,flight,10923.37
Mumbai,9,6,flight,140657.11
Bali,9,4,bus,295723.36
Singapore,11,2,flight,301665.92
Paris,2,4,train,154298.46
Manali,3,7,bus,37317.57
Mumbai,9,2,flight,47519.76
Paris,2,1,bus,32587.73
Jaipur,11,5,train,80994.83
Manali,12,2,flight,57930.98
Paris,8,5,train,629841.79
Jaipur,9,1,bus,11394.65
Delhi,2,2,flight,10751.56
Dubai,4,1,bus,31632.4
Manali,12,4,bus,72531.58
Bali,10,6,train,576616.87
Mumbai,7,3,train,40770.25
Bali,5,2,flight,136420.58
Manali,5,4,flight,51703.84
Tokyo,6,4,flight,460533.83
Goa,10,5,flight,159538.29
Delhi,12,7,train,131452.55
Tokyo,10,2,flight,375955.48
Dubai,4,3,flight,151475.69
Mumbai,6,8,flight,130242.6
Singapore,12,8,train,971484.53
Goa,3,1,train,8028.58
Delhi,2,6,flight,32353.41
Delhi,11,1,flight,23888.49
Dubai,12,4,flight,542536.38
Singapore,7,2,train,143659.3
Manali,10,2,bus,30359.04
Paris,7,8,train,879632.45
Tokyo,2,5,flight,230425.87
New York,11,5,train,708018.52
Dubai,3,2,flight,79019.0
Jaipur,12,8,train,142597.82
Goa,11,7,bus,153936.12
Dubai,6,3,flight,214547.2
Manali,11,6,flight,162026.78
Tokyo,7,7,bus,599509.55
Paris,2,6,bus,198278.85
Mumbai,4,1,bus,7021.2
Jaipur,6,6,bus,48164.36
Mumbai,9,4,bus,58700.16
New York,10,4,flight,700174.01
Jaipur,5,4,bus,26923.44
Tokyo,11,4,flight,814167.43
Jaipur,11,2,bus,27875.14
Mumbai,5,6,flight,81625.6
Bali,2,1,flight,32111.23
Singapore,12,6,flight,970351.46
Delhi,9,6,bus,73321.29
Dubai,10,7,bus,500998.73
Goa,11,8,train,202074.34
Paris,8,1,flight,171219.88
Bali,6,4,bus,203803.33
Mumbai,8,4,bus,52154.94
Mumbai,5,5,train,50383.46
Tokyo,10,7,train,966973.33
Goa,12,2,flight,75377.66
Bali,7,4,train,274314.23
Jaipur,7,2,train,21603.92
Mumbai,8,7,train,110305.68
Goa,11,1,bus,22098.21
Manali,12,4,bus,72247.19
Jaipur,5,6,flight,63728.6
Dubai,11,7,flight,879475.56
Singapore,5,8,flight,577170.08
Bali,4,6,flight,338137.93
New York,12,3,bus,386805.02
Manali,6,8,bus,76412.48
Mumbai,2,6,train,28353.38
Dubai,6,8,bus,358424.42
Delhi,8,1,train,12860.85
Singapore,3,7,bus,205782.4
Delhi,11,3,train,53102.16
Delhi,7,8,bus,78407.81
Tokyo,12,6,train,999945.72
Goa,12,4,train,110200.3
Delhi,2,3,bus,10178.95
Jaipur,8,6,flight,99554.14
Jaipur,5,6,train,47685.39
Manali,10,2,flight,49509.0
Bali,7,4,train,277137.67
Tokyo,9,6,flight,1007139.66
Mumbai,10,8,bus,128693.14
Delhi,7,3,bus,29628.59
Bali,4,4,bus,144289.91
Paris,3,8,train,425895.86
Singapore,4,6,train,267339.34
Paris,3,7,bus,319554.76
Goa,12,1,flight,37200.49
New York,8,8,flight,1125073.0
Delhi,11,8,bus,120301.01
Jaipur,6,4,flight,49781.57
Tokyo,11,6,flight,1244876.03
Bali,12,7,flight,1086661.35
Mumbai,8,8,train,126369.56
Dubai,6,7,bus,320951.09
Paris,6,8,flight,1040900.14
New York,2,5,flight,212237.94
Delhi,2,4,bus,13666.57
Paris,11,2,bus,289496.47
Paris,9,8,train,1123293.06
Dubai,9,2,bus,130524.71
Delhi,8,8,flight,141634.02
Paris,12,3,train,551487.48
Bali,9,7,train,599784.62
New York,9,4,bus,392965.33
Paris,11,3,train,510787.97
Bali,12,2,flight,310592.9
Mumbai,7,7,bus,80787.27
Goa,4,1,train,10207.75
Bali,4,4,train,168711.85
Goa,9,7,bus,124528.07
New York,9,1,bus,99482.5
Paris,11,3,flight,684305.32
Paris,9,8,train,1116763.27
Paris,6,4,train,382065.38
Jaipur,10,3,bus,37993.45
Goa,9,2,train,42059.81
Dubai,6,1,flight,71129.19
Manali,9,1,train,16175.8
Dubai,3,4,flight,157692.01
Mumbai,2,8,flight,51065.79
Bali,2,3,flight,95985.73
Singapore,5,1,flight,72372.78
Goa,10,3,flight,96012.78
New York,6,7,bus,469701.93
New York,4,6,flight,457125.66
New York,8,8,train,820380.78
New York,6,8,bus,538062.96
Delhi,6,8,flight,108022.18
Goa,11,2,bus,43454.55
Delhi,12,1,train,19018.43
Singapore,5,5,bus,229028.18
Delhi,3,4,flight,29991.21
Dubai,3,2,flight,79281.09
Dubai,8,7,flight,652025.48
Delhi,11,1,flight,23799.0
Mumbai,6,7,train,83688.0
Goa,2,8,flight,63130.92
Tokyo,8,1,flight,152659.63
Manali,4,3,bus,20307.02
Paris,12,2,flight,493069.19
Delhi,12,2,train,37674.1
Paris,6,1,flight,130917.79
Paris,7,2,bus,188765.51
Goa,9,6,bus,108879.91
New York,5,3,bus,175165.2
Manali,3,6,bus,31662.61
Goa,4,8,bus,69394.22
Paris,2,3,train,115170.06
Tokyo,4,2,bus,103990.14
Bali,2,5,bus,102098.62
Tokyo,3,4,flight,256935.15
Paris,11,1,train,166835.35
Jaipur,12,3,bus,45175.77
Delhi,2,1,flight,5394.52
Dubai,9,2,flight,208674.96
Dubai,5,2,flight,122339.4
Jaipur,6,1,train,9212.08
Manali,7,2,flight,35225.6
Mumbai,6,4,bus,40163.23
Mumbai,7,1,train,13856.16
Tokyo,3,7,flight,448612.35
Tokyo,11,2,flight,403344.37
New York,6,5,flight,543735.37
Mumbai,3,2,bus,11120.69
New York,5,7,bus,400050.33
Bali,8,7,bus,459012.09
Singapore,3,3,flight,139375.82
Dubai,5,2,bus,76560.38
Singapore,8,4,flight,444460.99
Tokyo,10,2,train,277899.32
New York,10,7,flight,1195438.61
Jaipur,3,1,flight,6993.95
Mumbai,11,1,train,21172.15
Bali,4,4,flight,225410.4
Dubai,7,3,bus,156736.4
Goa,11,3,flight,104596.57
Delhi,9,5,bus,61960.37
Singapore,11,8,flight,1210637.73
Bali,3,8,bus,221972.23
Dubai,3,5,flight,199741.74
New York,9,8,flight,1246959.01
Paris,5,7,train,574679.61
Dubai,3,5,bus,122374.25
Mumbai,4,1,flight,11390.64
Bali,6,3,flight,239209.96
Delhi,6,1,train,9963.49
New York,7,3,flight,372400.35
Jaipur,6,8,train,73598.7
Paris,2,6,train,229657.06
Tokyo,6,5,flight,588028.8
Tokyo,10,6,bus,708830.34
Singapore,5,7,train,378939.77
Manali,3,6,bus,31803.49
Jaipur,3,3,bus,13196.92
Paris,8,1,bus,105305.16
New York,5,8,flight,743192.77
Tokyo,5,3,bus,187985.68
Bali,5,8,bus,350405.65
Tokyo,10,4,train,555512.16
New York,6,2,flight,217241.35
Jaipur,3,5,bus,21534.03
Tokyo,11,7,flight,1451498.52
Goa,8,3,flight,76655.53
Goa,12,3,train,83684.43
Jaipur,7,4,bus,35970.51
Goa,9,6,bus,107769.82
Tokyo,7,4,flight,531512.24
Singapore,9,5,train,463183.37
Jaipur,3,1,bus,5000
Paris,11,1,flight,228047.52
Jaipur,2,5,train,18382.83
Manali,6,8,bus,77616.82
Manali,5,8,flight,103584.03
New York,4,3,train,167974.29
Jaipur,12,4,flight,94719.85
Paris,3,3,flight,216316.16
Dubai,12,6,bus,517560.8
Delhi,9,8,flight,155793.12
New York,8,7,train,728585.55
Goa,2,7,bus,35018.81
Manali,4,8,bus,53623.11
Manali,3,8,flight,67018.35
Bali,2,5,bus,101719.06
Bali,6,2,flight,163360.78
Jaipur,10,5,bus,63397.58
Jaipur,11,6,bus,83244.05
Paris,6,4,train,383987.78
Tokyo,5,5,train,364821.27
Mumbai,8,8,flight,170541.26
Manali,7,6,bus,65513.59
Mumbai,11,6,flight,170664.33
Manali,3,3,bus,15941.54
Paris,5,3,train,245974.61
Bali,6,6,bus,306796.01
Mumbai,6,8,flight,129944.63
Dubai,8,6,train,421136.54
Goa,12,3,flight,111771.05
Singapore,11,1,flight,150901.0
Paris,4,4,train,267180.55
Bali,11,1,bus,88783.52
Manali,9,6,train,97936.0
Goa,10,6,flight,190094.61
New York,7,3,bus,236714.96
Goa,9,7,bus,125777.79
Dubai,10,6,bus,428505.14
Jaipur,3,6,bus,26313.96
Goa,2,1,flight,7756.04
Paris,2,2,flight,104070.93
Jaipur,5,1,train,7985.92
Jaipur,9,3,bus,34174.8
Tokyo,5,1,train,73794.32
Mumbai,9,2,train,34823.33
Goa,3,3,bus,20432.95
Bali,4,1,bus,35658.7
Singapore,7,4,train,290703.39
Singapore,5,4,flight,287676.71
Manali,4,4,flight,43173.85
Singapore,10,2,flight,271483.78
Jaipur,3,3,flight,20655.02
Goa,3,4,train,32033.28
Mumbai,12,3,flight,92181.55
Tokyo,2,4,train,138617.97
Goa,2,7,train,40319.19
Singapore,12,2,flight,320546.09
Bali,7,3,train,205975.85
Paris,11,8,bus,1153864.16
Delhi,10,7,flight,150278.96
Mumbai,4,3,train,24846.65
Dubai,2,1,bus,17934.47
Jaipur,4,8,bus,43740.73
Dubai,7,3,train,184394.31
Manali,2,6,bus,22855.79
Mumbai,3,8,flight,70299.78
Tokyo,4,2,bus,101627.67
Delhi,4,2,train,13995.24
Paris,5,5,bus,348774.37
Delhi,4,6,train,41760.52
Goa,9,2,flight,57059.98
Manali,10,7,flight,172345.1
Bali,12,7,train,790185.85
Manali,10,5,bus,77362.47
Singapore,2,1,train,25328.15
Paris,2,3,flight,156104.89
Paris,12,7,bus,1103852.55
Goa,9,1,train,21300.04
Mumbai,11,6,train,127647.68
Tokyo,11,1,train,151629.35
Paris,5,4,flight,444962.68
Singapore,12,5,bus,518023.71
Mumbai,2,6,bus,24187.57
Manali,3,7,bus,37198.73
Dubai,9,4,train,310038.69
Mumbai,12,1,train,22617.83
New York,12,7,bus,912331.72
New York,7,8,bus,628044.24
Goa,6,2,bus,24761.59
Jaipur,11,8,flight,177959.34
New York,8,1,bus,87514.65
Delhi,12,7,flight,179633.17
Tokyo,6,2,bus,145823.6
Singapore,4,6,bus,226929.14
Bali,4,8,bus,283499.97
Goa,2,1,bus,5000
Tokyo,11,6,bus,773578.18
Paris,5,7,bus,485023.3
Singapore,10,1,bus,85544.34
Tokyo,8,5,bus,479078.81
Bali,9,3,train,262831.5
Delhi,2,7,flight,37509.94
Delhi,11,6,flight,143485.56
Singapore,7,2,flight,197543.55
New York,2,1,bus,26807.8
Tokyo,11,4,bus,511136.71
Tokyo,12,4,train,650562.38
Paris,6,1,train,95333.01
Bali,5,3,flight,204601.1
Singapore,9,6,train,542753.73
Goa,10,6,flight,188130.41
Mumbai,12,3,flight,92653.65
New York,3,6,bus,224214.64
Paris,2,8,flight,418804.23
Mumbai,5,1,flight,13743.53
New York,9,7,train,817182.55
Manali,7,6,bus,66410.54
Goa,11,3,flight,104261.08
Dubai,11,3,flight,375190.56
Tokyo,7,7,flight,933638.6
Goa,5,3,flight,50083.04
Jaipur,9,3,bus,34298.11
Goa,9,5,flight,144350.13
Mumbai,6,4,flight,63821.09
Delhi,3,1,flight,7352.55
Bali,6,7,flight,557404.47
Goa,2,1,train,5768.6
Paris,7,6,bus,561740.51
Goa,7,1,flight,22604.08
Singapore,12,7,flight,1142855.24
New York,11,3,flight,565234.47
Dubai,5,3,train,134769.1
Paris,8,7,flight,1185260.58
Singapore,5,8,flight,574457.19
Tokyo,12,1,train,166452.93
Jaipur,9,3,flight,55199.57
Goa,12,7,train,194547.66
Mumbai,6,8,train,95972.18
Goa,9,4,flight,114064.44
Goa,12,6,flight,224970.05
Mumbai,10,2,bus,32385.07
Jaipur,2,3,train,11293.7
Paris,10,6,train,919720.01
Dubai,8,8,train,560040.75
Mumbai,12,5,flight,152877.29
Dubai,4,4,flight,203398.59
Tokyo,8,8,train,889842.99
New York,9,6,flight,942948.53
Singapore,4,4,train,175578.87
Mumbai,2,2,bus,8049.25
New York,3,7,bus,263527.84
Tokyo,3,1,bus,40799.88
Manali,6,4,bus,38800.48
Dubai,6,5,train,267670.48
Paris,3,5,train,268265.56
New York,8,6,flight,835451.13
New York,10,2,bus,219275.59
Manali,2,1,flight,6167.11
New York,3,8,train,346970.58
Paris,11,1,bus,142742.49
Tokyo,12,7,bus,970663.77
Paris,11,7,train,1177259.24
Manali,11,5,bus,85053.8
Bali,12,3,bus,294101.54
New York,7,4,train,363055.34
Goa,12,3,train,83701.64
New York,2,7,bus,191685.85
Tokyo,11,2,train,306568.54
Dubai,8,4,flight,369357.32
Goa,12,3,flight,112955.44
Mumbai,4,1,train,8424.62
Delhi,5,5,bus,35692.33
Jaipur,10,7,train,104113.43
Dubai,2,5,train,106521.18
Goa,4,2,flight,27729.15
Goa,4,7,train,70771.43
Bali,4,3,flight,168252.74
Bali,6,8,bus,403066.71
Mumbai,11,8,train,166897.1
Paris,9,5,flight,951909.84
Goa,2,7,flight,54646.46
Paris,11,3,flight,680290.98
Bali,4,4,train,168896.97
Goa,5,5,bus,53346.18
Dubai,3,1,train,29490.32
Mumbai,11,4,flight,112061.51
Jaipur,9,6,bus,69878.8
Delhi,5,1,flight,11392.7
Paris,5,8,train,658720.0
Bali,6,1,flight,81026.87
Manali,10,1,flight,24182.09
Paris,9,3,flight,567324.11
Singapore,6,1,bus,54026.06
Goa,5,2,flight,33442.64
Goa,8,3,train,56807.71
Goa,12,7,train,192595.21
Paris,12,2,bus,307338.04
Goa,3,3,train,24264.46
Goa,11,4,flight,140449.26
Goa,8,8,flight,203540.61
Paris,10,3,flight,631044.46
Manali,5,3,flight,38576.45
Singapore,6,4,train,255726.64
Jaipur,3,7,bus,30843.39
Mumbai,2,4,train,19061.67
Delhi,8,3,train,38563.37
Jaipur,10,4,bus,50381.32
Singapore,6,1,train,62647.11
Singapore,5,7,flight,500296.64
Dubai,3,3,flight,118601.06
Bali,2,7,bus,140275.6
Paris,9,3,flight,559109.52
Goa,10,3,flight,95832.0
Delhi,9,5,train,71526.88
Dubai,12,5,flight,673801.77
Mumbai,7,3,flight,55016.61
Singapore,5,6,train,326323.65
Paris,8,6,bus,648377.6
Singapore,12,2,train,238647.36
New York,6,6,train,485734.6
Delhi,8,1,bus,11014.88
Bali,12,7,train,794972.8
Delhi,9,8,flight,154662.74
Delhi,5,6,flight,69226.65
Mumbai,11,2,train,42369.57
Paris,4,7,train,476628.47
Mumbai,3,3,bus,17003.51
Tokyo,3,2,bus,80664.83
New York,2,7,flight,300174.52
Bali,5,2,bus,86813.39
Bali,3,4,bus,112899.81
Jaipur,9,3,flight,54777.68
New York,5,7,bus,407164.07
Mumbai,4,6,flight,68798.26
Delhi,3,4,train,21858.65
Singapore,10,1,train,101279.52
Dubai,2,8,bus,145902.83
Mumbai,2,3,train,14364.24
Paris,10,8,bus,1042898.13
Mumbai,2,5,flight,31720.14
Mumbai,11,7,train,145790.67
Delhi,3,3,bus,14036.22
Mumbai,7,5,bus,57763.47
Jaipur,2,2,flight,10121.63
Paris,3,1,bus,45248.13
Delhi,8,2,flight,34894.06
Jaipur,5,8,train,64179.03
Manali,8,1,flight,20069.61
Goa,12,5,bus,120016.13
New York,6,6,bus,402360.28
Jaipur,3,1,bus,5000
Paris,2,3,flight,153309.91
Paris,5,2,flight,224327.56
Bali,3,5,flight,223957.44
Goa,11,5,bus,107646.77
Paris,10,1,train,155218.34
Tokyo,7,5,train,500768.23
Mumbai,11,7,train,145765.27
Tokyo,10,6,flight,1134313.74
Delhi,8,1,flight,17623.4
Goa,9,4,train,85403.78
Bali,10,3,flight,383736.41
Paris,2,7,flight,365666.36
Paris,7,8,train,892249.74
Dubai,4,6,train,224218.05
Jaipur,3,1,train,5077.5
Paris,12,3,bus,461968.9
New York,8,1,bus,89281.26
Goa,11,3,bus,64402.2
Jaipur,9,1,flight,17990.32
Dubai,5,5,flight,306350.17
Jaipur,3,7,bus,30001.05
Tokyo,2,2,train,69614.14
New York,10,5,train,645517.11
Delhi,10,3,train,47526.04
New York,9,1,bus,98445.66
Manali,3,2,train,12595.47
Goa,5,5,bus,53535.34
Singapore,11,2,bus,187171.09
Tokyo,6,7,train,604242.46
Goa,3,3,bus,20234.61
Tokyo,10,8,flight,1492381.56
Bali,5,4,train,203338.63
Dubai,11,1,bus,80161.48
Jaipur,5,5,train,39403.51
Delhi,10,7,flight,150558.33
Dubai,6,2,flight,144433.24
New York,11,7,train,985157.85
Goa,6,3,bus,36806.1
Delhi,7,5,train,58076.78
Tokyo,7,7,flight,939730.88
Bali,6,7,bus,360597.78
Jaipur,6,3,flight,37611.76
Bali,12,5,train,573916.37
New York,11,3,flight,561093.81
Delhi,2,5,train,20023.33
Singapore,11,1,bus,92784.07
Mumbai,2,5,train,23532.66
Tokyo,4,5,flight,403025.05
Paris,5,1,flight,110498.12
Paris,10,6,bus,781474.87
Mumbai,5,7,bus,60543.46
Paris,8,3,train,375456.21
Jaipur,12,7,flight,165953.53
Goa,7,4,bus,57847.68
Mumbai,10,1,bus,16190.74
New York,5,4,flight,361094.25
Goa,8,1,flight,25802.94
Singapore,6,6,flight,504325.89
Delhi,3,1,train,5546.62
Delhi,11,4,flight,94929.83
Tokyo,5,6,flight,592184.7
Jaipur,12,8,train,142026.68
New York,9,3,flight,469581.08
Dubai,4,6,train,226029.58
Goa,11,6,bus,131630.47
Jaipur,9,6,flight,110602.63
Mumbai,10,8,flight,206755.5
Goa,8,7,bus,112211.65
Delhi,3,7,flight,51252.11
Mumbai,11,1,train,20671.96
Paris,10,3,flight,626433.57
Manali,7,7,train,90163.51
Delhi,10,1,bus,13692.59
Bali,5,5,bus,218854.84
Jaipur,10,1,train,15005.19
Delhi,5,3,train,25424.45
Mumbai,8,7,bus,93622.65
Tokyo,7,7,train,699402.42
